设备,参数
显示器,"1920×1080,AOC"
显示器,"1920×1080,AOC"
机箱,"1250W,9700,Z390"
固态硬盘,WDS 500G
显卡,2080ti
显卡,3080
内存,"2933Mhz,16G,海盗船"
内存,"2933Mhz,16G,海盗船"
