设备,参数
显示器,"1920x1080 冠捷AOC"
机箱,"650W,因特尔Core i7-9700,技嘉Z390"
固态硬盘,"三星SSD980 500GB"
机械硬盘,"西部数据 WDC WD10SPZX-22Z10T1 1TB"
显卡,"Nvidia GeForce RTX 1060"
内存,"金士顿 DDR4 2666MHz 16GB（2条同型号）"
