硬件,参数
显示器,"1920X1080 Samsung"
机箱,"650W z390"
内存,"16G 2666MHz 镁光"
固态硬盘,"500G,Samsung SSD 980"
显卡,"1060"
机械硬盘,"西数 1TB 2.5寸"
